Agency	Sector	Country	Province1	Province	Latitude	Longitude	geo	Original Output (if different from current)	Current output	Original Indicator (if different from current)	Indicator	Start date	End date	First Indicator	Measure	Original Target (if different)	Target	Interim	Achieved	Final	% achieved to date	% to date	Final	Final %
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Acces to WFS	3x women friendly spaces established and operating after xx weeks	4x women friendly spaces established and operating after xx weeks				#	"3,554"	"3,752"	"1,076"	"1,076"		29%	29%		
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Acces to WFS	Hygiene kits distributed to # of women and girls after three months in Schisto	Hygiene kits distributed to # of women and girls after three months in Schisto and Skaramangas				#	"1,000"	"1,127"	200	200		18%	18%		
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Signposting to referrals	# of women and girls refered to medical and legal services during 3 months of project implementation	# of women and girls refered to medical and legal services during 4 months of project implementation				#	20	200	96	96		48%	48%		
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Increased resilience and skills of women		# of women participate in community consultation sessions				#		"1,000"	13	13		1%	1%		
ActionAid	Protection	Greece	Dodekanissa	"Dodekanissa, Greece"	39.130354	26.530764	"39.130354,26.530764"		Increased resilience and skills of women		# of children participate in personal resilience activities in Caritas Hotel				#		100	0	0		0%	0%		
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Increased resilience and skills of women		# of women participate in resilience building activities				#		"1,334"	165	165		12%	12%		
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Acces to WFS		# of women report using new approaches to reslience				#		"1,334"	0	0		0%	0%		
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Acces to WFS		"# of women receive basic language instruction in Farsi, Greek and English in Schisto"				#		120	11	11		9%	9%		
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Acces to WFS		Stories / testimony collected from # of refugees				#		"1,234"	123	123		10%	10%		
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Signposting to referrals		# of men and boys participate in gender sensitisation workshops				#		"1,985"	0	0		0%	0%		
ActionAid	Protection	Greece	Attica	"Attica, Greece"	37.995716	23.592918	"37.995716,23.592918"		Increased resilience and skills of women		# of refugees (men and women) to benefit from camp management				#	"4,000"	"1,810"	"1,810"	"1,810"		100%	100%		
CRS	Other	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		Refugees & migrants are able to access basic services at service hubs		# of refugees & migrants accessing at least one service from the project				#		"35,750"	17158	17158		48%	0%		
CRS	Other	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		Refugees & migrants are able to access basic services at service hubs		% level of satisfaction among refugees & migrants for services received				%		100%				0%	7%		
CRS	Nutrition	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		Refugees & migrants are able to access basic services at service hubs		# of meals delivered to refugees & migrants				#		"35,750"	2596	2596		7%	38%		
CRS	WASH	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		Refugees & migrants are able to access basic services at service hubs		# of showers provided to refugees & migrants				#		"4,550"	1740	1740		38%	61%		
CRS	Protection	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		Refugees & migrants are able to access basic services at service hubs		# of children accessing safe play areas				#		"1,300"	793	793		61%	0%		
CRS	Food security & livelihoods	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"	Extremely vulnerable refugees & migrants use cash-based assistance to meet priority unmet needs with dignity.	"Extremely vulnerable refugees & migrants in Skaramangas, Malakassa and Schisto use cash-based assistance to meet priority unmet needs with dignity."		# of extremely vulnerable refugees & migrants receiving cash transfers				#		"2,400"	0	0		0%	0%		
CRS	Other	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		Extremely vulnerable refugees & migrants use cash-based assistance to meet priority unmet needs with dignity.		Dollar amount of cash transfers disbursed to extremely vulnerable refugees & migrants				$		"$540,111"	0	0		0%	0%		
CRS	Other	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		Extremely vulnerable refugees & migrants use cash-based assistance to meet priority unmet needs with dignity.		% of extremely vulnerable refugees & migrants expressing satisfaction with cash transfers				%		100%	0	0		0%	42%		
CRS	Protection	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		"Refugees & miigrants access accurate information, counseling, and resources regarding legal and safe migration options and available services."		# of refugees & migrants provided with information services				#		"3,000"	1250	1250		42%	77%		
CRS	Protection	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		"Refugees & miigrants access accurate information, counseling, and resources regarding legal and safe migration options and available services."		# of refugees and migrants meeting with a social worker at one of the two hubs			# of refugees & migrants receiving psychosocial support services	#		"1,500"	1160	1160		77%	62%		
CRS	Protection	Greece	Attica	"Attica, Greece"	37.59131	23.43379	"37.59131,23.43379"		"Refugees & miigrants access accurate information, counseling, and resources regarding legal and safe migration options and available services."		# of total referrals made			# of successful referrals made to outside service providers for refugees & migrants	#		"1,500"	936	936		62%	40%		
DRC	WASH	Greece	Attica	"Attica, Greece"	37.8998	23.7263	"37.8998,23.7263"		"By July 2016, increased accessibility to adequate WASH facilities in Elliniko and/or Lagadikia sites"		"# of WASH facilities improved, repaired and maintained"				#		30	12	12		40%	25%		
DRC	Shelter	Greece	Attica	"Attica, Greece"	37.8998	23.7263	"37.8998,23.7263"		"By July 2016, improved accommodation /communal facilities for people of concern"		# of people benefitting from improved mantained accommodation/common facilities				#		3000	1400	1400		47%	87%		
DRC	Camp Management	Greece	Attica	"Attica, Greece"	37.8998	23.7263	"37.8998,23.7263"		"By May 2016, improved site management support to the MoMP by introduction of camp management and coordination tools and improved infrastructure and maintenance of Elliniko and Lagadikia sites"		# of sites in which Camp Management interventions have been conducted				#		4	1	1		25%	50%		
DRC	Protection	Greece	Attica	"Attica, Greece"	37.8998	23.7263	"37.8998,23.7263"		A protective environment in which the dignity and human rights of persons in need of international protection are fostered and maintained.		"# of people reached through protection monitoring, legal support, and interventions"				#		4500	3900	3900		87%	0%		
DRC	Food security & livelihoods	Greece	Attica	"Attica, Greece"	37.8998	23.7263	"37.8998,23.7263"		"Hosted population in Elliniko sites benefits from nutritional and culturally appropriate feeding, through provision of 3 ready to eat meals per day"		# of people receiving 3 ready-to-eat meals per day				#		3000	1500	1500		50%	54%		
DRC	Shelter	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6291	23.2453	"40.6291,23.2453"	By July 2016 backpacks are distributed to beneficiaries in Elleniko and Lagadikia sites	By July 2016 NFIs are distributed to beneficiaries in Elleniko and Lagadikia sites		# of people receiving summer NFI kits according to distribution criteria in Elleniko and Lagadikia sites				#		3000	0	0		0%	#DIV/0!		
DRC	Shelter	Greece	Attica	"Attica, Greece"	37.8978	23.7219	"37.8978,23.7219"	By July 2016 backpacks are distributed to beneficiaries in Elleniko and Lagadikia sites	By July 2016 NFIs are distributed to beneficiaries in Elleniko and Lagadikia sites		# of people receiving summer NFI kits according to distribution criteria in Elleniko and Lagadikia sites				#		3000	0	0		0%	#DIV/0!		
IMC	Health	Greece	Attica	"Attica, Greece"	37.94391	23.62999	"37.94391,23.62999"		Improve access to PHC (including MISP and ANC/PNC) and referrals for secondary level health care in Attica		# of consultations				#	900	1500	811	811		54%	0%		
IMC	Health	Greece	Attica	"Attica, Greece"	37.94391	23.62999	"37.94391,23.62999"	Provide psychosocial support to beneficiaries	Provide psychosocial support to beneficiaries in Attica		# of individual PSS sessions				#	900	200	809	809		405%	0%		
IMC	WASH	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6525	22.8527	"40.6525,22.8527"	Conduct weekly health and hygeine promotion activites in Central Macedonia	Conduct weekly health and hygeine promotion activites in SK Market		# of individuals attending sessions				#		400	0	0		0%	0%		
IMC	WASH	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6525	22.8527	"40.6525,22.8527"	Clean latrines and showers in Giannsita	Clean latrines and showers in SK Market		% of latrines and showers cleaned daily				%		80	0	0		0%	0%		
IMC	WASH	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6525	22.8527	"40.6525,22.8527"	Distribution of hygeine kits to camp residents	Distribution of hygeine kits to camp residents in SK Market		# of hygiene kits distributed				#		500	0	0		0%	#DIV/0!		
IMC	Health	Greece	Attica	"Attica, Greece"	37.94391	23.62999	"37.94391,23.62999"	Provide Infant and Young Child Feeding support and counselling in Idomeni	Provide Infant and Young Child Feeding support and counselling in Pireaus Port		# of individuals attending sessions				#		240	0	0		0%	0%		
IMC	Health	Greece	Attica	"Attica, Greece"	38.00153	23.73502	"38.00153,23.73502"	Provide psychosocial support to beneficiaries in Idomeni	Provide psychosocial support to beneficiaries at Bable Health Centre in Attica		# of individual PSS sessions				#	900	200	0	0		0%	0%		
IMC	WASH	Greece	Central Macedonia	"Central Macedonia, Greece"	40.6659	22.8337	"40.6659,22.8337"	Conduct weekly health and hygeine promotion activites in Elleniko 2	Conduct weekly health and hygeine promotion activites in Frakapor		# of individuals attending sessions				#		400	0	0		0%	#DIV/0!		
